Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Nepal,35th,7.0,8.3,9.1,6.8,7.5,7.0,7.1,7.1,7.7,7.9,7.6,7.4,0.804,0.804,6.94,1.36,7.3235,1.99,0.797,2.765,2.3,Warning
Mauritania,26th,7.4,8.8,6.9,8.0,7.1,6.3,7.9,8.9,8.0,8.6,8.5,8.5,0.473,0.473,6.51,6.18,5.6985,0.62,0.445,0,0,Warning
Togo,47th,7.0,7.6,4.5,6.8,8.1,7.3,8.1,8.6,7.2,8.0,7.1,6.5,0.909,0.909,7.11,1.06,8.2705,0.86,0.852,8.44,0,Warning
Venezuela,74th,6.5,8.1,7.3,6.5,6.7,5.2,8.6,7.2,8.3,5.1,4.8,4.3,0.764,0.764,7.04,0.9,8.4935,5.36,0.666,12.59,0,Warning
Timor-Leste,35th,7.7,8.3,6.5,8.4,6.7,7.0,7.4,8.4,5.8,8.9,6.8,8.7,0.541,0.541,6.35,1.54,8.2365,0.36,0.545,1.01,5.17,Warning
Ethiopia,20th,8.4,8.6,8.5,6.9,7.1,7.0,7.4,8.6,8.5,9.2,9.4,7.9,0.418,0.418,6.37,1.66,4.533,3.5,0.267,0,0.08,Warning
Eritrea,24th,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2,0.678,0.678,7.3,1.48,5.389,1.49,0.584,0,0,Warning
Kyrgyz Republic,62nd,6.8,8.0,8.4,7.0,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9,0.793,0.793,6.94,0.7,7.4995,3.66,0.805,8.115,2.85,Warning
North Korea,29th,8.6,8.5,6.3,9.0,8.0,4.2,10.0,8.9,9.7,7.5,4.3,8.8,0.923,0.923,6.96,1.26,4.926,2.97,0.897,1.09,0,Warning
Libya,25th,9.3,9.1,7.8,8.0,6.1,6.4,9.8,7.5,9.0,5.4,7.4,9.5,0.582,0.582,7.06,0.8,2.414,5.23,0.474,0.035,0,Warning
Lebanon,40th,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2,0.899,0.899,7.03,2.16,6.1295,0.3,0.867,0,5.98,Warning
Cameroon,28th,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8.0,8.0,7.8,7.0,0.646,0.646,7.33,0.88,3.1654,2.13,0.531,2.36,0,Warning
Egypt,38th,8.2,9.0,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1,0.718,0.718,7.35,1.24,3.9275,2.62,0.622,4.41,0,Warning
Laos,55th,6.0,8.3,6.3,5.5,6.9,7.4,9.0,7.7,8.1,7.1,5.6,6.6,0.55,0.55,6.16,1.64,5.5105,4.46,0.518,3.035,4.67,Warning
Cambodia,42nd,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7.0,5.8,7.4,0.406,0.406,5.67,0.08,4.6905,5.58,0.395,4.23,1.45,Warning
Angola,42nd,6.0,7.2,7.3,5.6,9.6,6.0,8.3,8.9,7.3,8.7,7.6,5.6,0.857,0.857,8.13,1.52,3.3445,0.21,0.718,1.21,5.77,Warning
Gambia,51st,6.0,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5,0.894,0.894,8.22,2.48,5.228,0.36,0.832,2.685,3.55,Warning
Solomon Islands,50th,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8.0,0.565,0.565,7.34,6.78,6.447,1.7,0.489,0.715,0,Warning
Sierra Leone,31st,4.8,7.7,6.2,8.7,8.8,8.4,6.9,9.3,5.6,9.5,8.2,7.8,0.762,0.762,6.42,0.68,6.4695,0.85,0.659,0.09,1.73,Warning
Madagascar,56th,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3,0.427,0.427,4.98,0.36,4.8335,5.47,0.423,9.725,0,Warning
Colombia,61st,7.3,7.6,8.0,3.8,7.5,6.7,7.1,6.0,7.3,6.9,7.8,6.5,0.734,0.734,7.58,3.88,4.3605,0.98,0.631,3.545,5.23,Warning
Mozambique,46th,7.0,6.9,5.9,7.8,8.6,7.4,7.2,9.0,6.1,8.7,5.0,7.3,0.637,0.637,7.68,0.92,3.51,2.94,0.649,5.59,0,Warning
Congo Republic,33rd,6.7,6.7,6.6,6.4,8.2,6.8,8.7,9.1,7.9,7.8,8.3,7.6,0.59,0.59,6.23,1.92,4.2115,3.44,0.52,0.435,0.7,Warning
Sri Lanka,34th,7.9,9.1,9.3,5.9,7.6,7.8,8.0,5.6,8.8,6.0,8.2,6.4,0.924,0.924,5.09,1.38,7.795,0.6,0.814,1.13,0,Warning
Papua New Guinea,57th,6.9,7.1,6.3,6.2,9.0,7.1,6.9,8.7,6.6,7.3,4.6,6.7,0.948,0.948,5.28,1.2,6.4555,5.84,0.916,3.93,0.19,Warning
Israel and West Bank,68th,7.0,8.1,9.7,3.9,6.9,3.8,6.3,5.3,7.4,6.0,7.4,7.6,0.774,0.774,7.54,2.54,5.4535,2.72,0.704,8.28,0.76,Warning
Djibouti,41st,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4,0.923,0.923,8.02,2.9,3.7005,0.3,0.923,3,0,Warning
Zambia,53rd,5.0,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6,0.748,0.748,6.56,3.28,8.426,1.26,0.803,0,1.07,Warning
Tanzania,63rd,5.5,5.7,5.7,6.7,7.0,7.0,6.0,8.7,6.0,8.8,6.4,7.3,0.488,0.488,8.26,5.6,8.441,3.44,0.318,0,0,Warning
