Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Hungary,139th,2.4,5.3,4.7,5.9,4.3,3.3,6.6,3.3,4.5,2.3,2.5,4.0,0.49,0.49,6.28,0.98,5.7255,5.35,0.422,11.81,0,Stable
Greece,134th,4.5,3.7,5.0,6.5,4.2,3.8,6.5,3.9,3.4,3.6,1.6,5.9,0.924,0.924,8.09,0.56,5.885,0.32,0.914,6.93,2.61,Stable
Botswana,122nd,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6.0,4.4,7.5,5.2,4.6,0.747,0.747,7.65,1.36,3.3685,0.54,0.694,0.425,0.08,Stable
Romania,132nd,3.5,5.2,6.8,5.2,4.7,4.5,5.6,4.3,3.9,3.7,2.7,4.1,0.692,0.692,6.26,1.04,6.7205,1.51,0.613,4.02,0.7,Stable
Barbados,138th,4.3,4.2,4.1,5.7,5.1,5.4,3.0,2.7,2.9,3.8,2.7,5.4,0.575,0.575,7.16,1.18,4.8735,3.21,0.457,0,8.58,Stable
Oman,135th,4.7,6.6,3.0,4.5,4.2,1.9,6.6,3.8,7.5,5.0,2.0,2.2,0.642,0.642,8.18,5.38,5.916,0.33,0.542,2.06,0,Stable
United Arab Emirates,144th,3.1,3.6,3.9,2.9,4.2,2.5,6.6,2.7,7.1,4.5,2.2,2.9,0.603,0.603,7.44,0.76,8.0635,3.97,0.494,4.405,3.09,Stable
Spain,151st,3.3,6.1,5.8,5.0,4.0,2.4,3.3,2.7,1.9,2.5,1.7,2.2,0.431,0.431,7.31,2.66,7.38,4.23,0.374,9.285,2.59,Stable
Montenegro,132nd,4.0,6.3,7.3,4.6,2.9,3.6,4.0,3.6,4.2,3.3,4.5,5.9,0.779,0.779,6.31,1.98,6.1075,1.22,0.725,3.305,0,Stable
Qatar,143rd,2.5,5.0,4.6,2.6,5.2,3.1,6.0,1.8,6.2,4.3,1.8,3.2,0.515,0.515,7.76,1.36,6.742,1.85,0.422,8.665,0.04,Stable
Chile,150th,3.1,1.7,4.1,3.6,5.1,3.2,3.0,4.5,3.4,5.1,2.1,2.6,0.394,0.394,5.16,0.92,5.9715,8.67,0.28,6,4.01,Stable
Costa Rica,142nd,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3,0.425,0.425,5.87,3.46,4.0005,7.65,0.457,3.15,0.41,Stable
Bahamas,136th,4.0,4.5,4.1,4.7,5.0,5.0,4.3,4.4,3.0,6.1,2.8,3.7,0.758,0.758,7.08,0.24,3.1145,2.89,0.723,5.13,0,Stable
Panama,131st,5.1,2.5,5.6,3.4,7.3,4.0,4.0,5.5,4.8,5.7,3.5,3.2,0.525,0.525,6.14,0.66,6.024,1.94,0.475,0.49,0,Stable
Latvia,140th,3.5,4.3,7.4,4.0,4.6,4.4,3.9,3.4,3.0,3.4,2.9,3.8,0.586,0.586,6.6,0.3,6.3035,2.07,0.59,0.795,2.11,Stable
Estonia,146th,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2.0,3.3,2.9,3.1,0.582,0.582,5.76,1.06,5.5325,7.03,0.439,3.52,0.01,Stable
Poland,153rd,2.3,3.8,4.4,4.1,3.5,4.4,3.2,2.8,2.5,3.3,2.8,2.7,0.678,0.678,7.27,2.78,5.453,6.74,0.655,2.79,0,Stable
Argentina,141st,3.6,2.8,5.0,4.9,5.4,3.0,4.7,4.3,4.1,3.8,2.0,4.0,0.784,0.784,7.61,3.24,3.4425,0.61,0.695,1.71,0.05,Stable
Italy,147th,4.4,4.9,4.9,5.6,3.4,2.0,4.2,2.3,2.5,3.1,3.7,2.2,0.649,0.649,6.94,2.74,6.9625,0.31,0.5,4.28,0.06,Stable
Mauritius,145th,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2,0.787,0.787,6.28,1.54,5.4805,0.78,0.7,0,3.63,Stable
Czech Republic,154th,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2.0,2.6,0.875,0.875,7.86,1.32,4.4875,0.29,0.878,11.125,0,Stable
Slovak Republic,149th,2.3,3.7,5.9,5.1,4.0,4.2,3.7,2.9,2.7,2.8,2.0,3.3,0.72,0.72,7.51,2.64,6.6485,0.87,0.657,2.62,0,Stable
South Korea,156th,2.1,3.8,3.4,2.0,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4,0.775,0.775,6.65,4.88,7.3375,3.55,0.76,3.435,0,Stable
France,160th,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4,0.734,0.734,7,4.08,5.2195,1.94,0.777,7.4,1.99,Stable
Malta,151st,3.4,2.0,3.9,4.2,2.9,4.0,3.9,2.3,3.3,2.8,4.6,3.6,0.511,0.511,8.17,1.18,5.593,4.51,0.492,0.965,0,Stable
Lithuania,148th,3.0,3.0,4.3,5.0,5.0,4.2,3.2,4.0,2.4,3.3,2.6,3.0,0.828,0.828,6.62,4.12,3.4165,0.72,0.835,1.8,0,Stable
United States,158th,2.8,4.0,5.0,2.8,4.8,1.5,2.4,2.1,3.7,3.0,2.1,1.1,0.718,0.718,6.82,1.26,8.3505,1.09,0.766,5.495,0.08,Stable
Uruguay,155th,3.7,2.7,3.0,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9,0.779,0.779,5.97,1.32,8.2205,0.52,0.717,4.15,0,Sustainable
Austria,167th,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2.0,1.7,0.937,0.937,8.24,0.98,6.0705,0.32,0.939,6.345,8.12,Sustainable
Japan,157th,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6,0.898,0.898,8.24,2.38,6.4185,0.3,0.87,2.62,0,Sustainable
Australia,170th,2.1,1.6,4.4,2.1,2.7,1.0,1.1,2.0,2.4,1.8,2.1,1.0,0.741,0.741,7.47,1.12,2.9535,1.32,0.73,8.295,9.39,Sustainable
United Kingdom,161st,2.5,3.5,5.6,3.9,3.7,2.1,2.0,2.1,1.8,2.6,2.4,1.2,0.484,0.484,7.54,1.22,8.481,3.62,0.489,0.84,0.41,Sustainable
Belgium,163rd,2.0,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5,0.798,0.798,7.13,2.32,5.4395,0.35,0.833,7.72,1.16,Sustainable
Singapore,159th,1.6,4.0,3.1,2.5,4.0,3.3,3.8,1.8,4.6,2.9,1.1,1.7,0.735,0.735,7.38,0.56,6.928,3.27,0.677,1.705,0,Sustainable
Denmark,175th,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4,0.466,0.466,5.15,11.14,3.5895,6.85,0.406,1.66,4.01,Sustainable
Portugal,164th,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5,0.785,0.785,7.29,0.04,7.3705,1.47,0.691,3.55,2.58,Sustainable
Germany,165th,2.1,2.0,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3.0,1.3,0.45,0.45,6.02,1.18,5.688,4.86,0.358,7.03,0.1,Sustainable
Slovenia,162nd,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2.0,2.0,2.8,1.4,2.3,0.702,0.702,7.29,1.94,7.113,1.3,0.702,1.655,0.29,Sustainable
New Zealand,172nd,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1.0,1.9,1.1,1.1,0.414,0.414,7.4,1.12,6.2005,2.46,0.366,11.535,0,Sustainable
Netherlands,166th,1.8,2.6,3.9,3.4,2.7,2.6,1.0,1.5,1.0,3.0,2.1,1.2,0.645,0.645,7.62,1.16,6.677,0.46,0.503,3.575,3.04,Sustainable
Canada,168th,2.2,2.5,3.9,1.8,3.0,2.2,0.9,2.0,1.8,2.4,2.0,1.0,0.558,0.558,6.84,1.38,2.9955,2.63,0.459,0.815,5.29,Sustainable
Finland,178th,1.4,1.1,1.6,3.8,1.0,2.3,0.5,1.2,0.9,1.5,1.5,1.0,0.441,0.441,6.41,2.06,4.4555,4.29,0.315,8.23,0,Sustainable
Norway,176th,2.5,1.1,3.7,1.7,2.0,1.6,0.4,1.4,1.3,2.0,1.9,1.2,0.913,0.913,8.16,1.12,6.7175,3.05,0.917,0,0,Sustainable
Ireland,169th,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9,0.686,0.686,6.89,1.18,5.7655,1.39,0.622,0.02,0,Sustainable
Iceland,171st,1.0,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6,0.623,0.623,7.31,0.7,3.804,1.8,0.518,3.065,0,Sustainable
Sweden,177th,2.1,1.8,1.3,2.3,1.8,1.5,1.0,1.6,1.0,2.5,2.3,1.0,0.665,0.665,6.79,2.64,6.3795,0.61,0.705,1.945,0,Sustainable
Switzerland,173rd,1.4,1.0,3.6,2.0,2.7,2.1,1.0,1.4,1.8,1.9,2.1,1.3,0.421,0.421,5.54,2.18,6.72,0.22,0.297,0.825,0,Sustainable
Luxembourg,174th,2.0,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1.0,1.7,1.7,1.6,0.763,0.763,7.42,2.14,4.8025,0.73,0.656,-2.1,0,Sustainable
