Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Prison Population,"Infant mortality rate (per 1,000 live births)",Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Sudan,2016,4th,9.2,10,9.8,8.7,7.6,9.1,9.8,9.1,9.3,9,10,9.9,8.45,8.32,5.12,7.036,8.45,1.17,8.23,9.68,4.094,Alert
Somalia,2016,1st,9.7,10,9.4,9,9.3,9.5,9.5,9,9.7,9.7,9.7,9.5,8.47,6.66,1.5,7.669,8.47,1.5,7.68,6.055,0.038,Alert
Syria,2016,6th,10,9.9,10,7.8,7.4,8.6,10,8.9,9.8,8.4,10,10,8.84,5.77,0.64,4.828,8.84,2.36,8.18,7.62,0,Alert
Central African Republic,2016,3rd,9.2,10,9.3,8.6,9.9,7.2,9.8,10,9.9,8.7,10,9.5,9.2,8.22,1.12,0,9.2,0.43,8.9,1.74,6.712,Alert
South Sudan,2016,2nd,10,9.7,9.9,9.3,9,6.6,9.7,10,9.7,9.9,10,10,7.82,7.5,0.94,7.084,7.82,1.25,7.06,1.215,0,Alert
Liberia,2016,27th,6.6,8.3,6,8.3,8.6,6.9,7,9.5,6.7,9.2,8.9,9.5,6.64,7.45,5.5,7.438,6.64,1.9,7.21,10.3,2.116,Alert
Afghanistan,2016,9th,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9,4.79,6.07,1.92,3.75,4.79,6.63,3.98,0.02,9.065,Alert
Chad,2016,7th,9.1,9.8,8.5,8,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5,3.52,5.15,1.28,4.225,3.52,9.15,3.38,0.89,7.686,Alert
Yemen,2016,4th,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10,4.93,7.55,0.42,7.623,4.93,3.38,4.67,0,2.139,Alert
Guinea,2016,12th,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6,7.54,7.36,2.24,8.542,7.54,1.08,7.25,1.715,0,Alert
Kenya,2016,20th,8.5,8.9,9.1,7.4,8,7.8,7.8,8.2,7.2,9.1,8,8.3,9.03,8.37,1.34,8.658,9.03,1.54,8.42,2.245,0,Alert
Congo Democratic Republic,2016,8th,9.2,9.8,9.7,8.1,8.9,6.8,9.3,9.7,10,9.1,9.7,9.7,4.98,6.36,0.76,5.925,4.98,5.51,4.69,1.075,1.71,Alert
Mali,2016,29th,9.2,5.2,7.9,7.9,7.6,8.7,6.3,9,7,8.7,8.1,9.6,8.98,7.35,1.7,7.109,8.98,3.59,7.83,4.005,0.076,Alert
Iraq,2016,11th,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7,6.24,6.83,1.9,8.664,6.24,2.28,5.35,0,2.088,Alert
Iran,2016,47th,7.7,9.6,8.8,6.6,5.8,6.5,9.2,4.7,9.5,5.1,6.7,6.7,9.21,8.27,3.38,8.722,9.21,3.79,9.06,2.335,3.114,Alert
Jordan,2016,77th,5.2,6.9,7.7,6.6,5.6,3.9,6.4,4.4,8,6.7,9.3,7.3,8.87,8.33,1.12,9.051,8.87,1.35,8.14,18.83,1.219,Alert
Zimbabwe,2016,16th,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7,8.4,5.92,2.14,6.606,8.4,4.66,6.87,0,0,Alert
Haiti,2016,10th,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9,4.24,5.55,0.66,8.891,4.24,6.03,3.53,1.58,2.622,Alert
