Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rates,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Cambodia,2013,41st,6.2,8.0,7.0,6.4,7.3,7.4,8.3,8.1,7.8,7.2,6.2,8.0,0.398,0.398,5.58,0.04,4.645139794,5.95,0.385,4.16,5.68,Warning
Iran,2013,37th,8.6,9.4,8.8,6.5,6.7,6.1,8.9,5.0,9.4,5.5,7.3,7.5,0.907,0.907,8.22,3.04,4.045947908,4.26,0.883,2.04,0.867,Warning
Togo,2013,42nd,7.4,7.5,4.8,7.4,7.6,6.8,8.3,8.3,7.8,8.2,7.1,6.5,0.904,0.904,7.08,0.96,6.73564017,0.89,0.843,7.795,0,Warning
Cameroon,2013,27th,8.0,9.2,7.8,6.1,7.8,7.2,8.5,8.4,8.1,8.3,7.3,6.8,0.643,0.643,7.3,0.82,1.75849232,2.24,0.528,1.695,3.672,Warning
Kyrgyz Republic,2013,48th,7.4,8.0,8.4,7.6,7.0,6.4,8.4,5.9,7.6,6.2,5.6,7.3,0.782,0.782,6.86,0.72,4.583929933,3.92,0.801,7.79,0.585,Warning
North Korea,2013,23rd,8.4,7.7,6.6,9.3,8.3,4.4,9.8,9.5,9.7,8.0,5.0,8.4,0.922,0.922,6.88,1.28,2.241753398,3.1,0.896,1.04,0,Warning
Mali,2013,38th,8.1,5.0,7.6,8.1,6.8,7.8,6.0,8.5,6.5,9.3,7.6,8.0,0.892,0.892,7.28,1.38,4.179818382,3.93,0.779,3.7,0,Warning
Madagascar,2013,61st,7.0,7.5,4.9,8.2,7.9,5.5,7.2,8.6,5.9,8.1,4.3,7.7,0.419,0.419,4.89,0.26,4.412004875,5.94,0.414,10.36,2.008,Warning
Jordan,2013,87th,5.8,6.8,7.1,6.5,6.5,4.2,6.5,4.3,7.4,6.7,7.8,6.2,0.876,0.876,8.27,1.06,3.579069164,1.48,0.789,17.59,1.369,Warning
Eritrea,2013,25th,7.5,8.1,6.1,8.3,6.9,7.3,8.7,8.4,9.1,8.7,7.4,8.6,0.675,0.675,7.25,2,3.65272859,1.6,0.585,0,0.01,Warning
