Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rates,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Bahamas,2013,133rd,4.3,4.5,4.4,4.5,5.6,5.6,4.9,4.4,2.8,6.6,2.8,4.3,0.745,0.745,7.07,0.24,2.016541287,3.12,0.704,5.195,9.556,stable
Botswana,2013,121st,3.5,3.3,4.8,6.1,7.5,5.0,4.4,6.0,4.4,8.3,5.8,4.8,0.735,0.735,7.62,1.22,2.920256285,0.59,0.67,0.735,4.492,stable
Kuwait,2013,127th,4.4,7.9,4.6,3.4,5.3,3.7,7.6,2.6,6.8,5.1,3.8,4.4,0.737,0.737,7.37,0.64,4.686979229,1.6,0.695,2.11,5.238,stable
Mongolia,2013,129th,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,2.2,6.5,0.501,0.501,8.02,3.92,3.016393164,6.81,0.361,2.175,0,stable
Malaysia,2013,116th,6.0,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,4.6,4.4,0.908,0.908,7.16,0.6,3.517045522,0.45,0.827,1.26,0,stable
Brazil,2013,126th,5.9,4.9,5.9,3.3,8.3,3.9,5.3,5.4,5.3,7.0,3.6,3.3,0.693,0.693,6.42,0.3,1.511949238,3.82,0.654,5.065,0,stable
Brunei Darussalam,2013,123rd,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,3.3,4.1,0.734,0.734,7.39,2.46,1.656498451,1.43,0.633,0.675,0,stable
Romania,2013,130th,4.1,5.2,6.3,5.7,5.3,4.7,6.4,4.3,3.9,4.3,2.7,4.6,0.679,0.679,6.23,1.1,5.235915929,1.6,0.606,3.92,0.741,stable
Hungary,2013,141st,2.3,4.8,4.1,6.0,4.9,3.9,5.9,3.1,3.4,2.5,2.9,3.8,0.483,0.483,6.21,1.2,4.183599609,5.62,0.415,10.055,0,stable
Bulgaria,2013,132nd,4.7,5.3,4.6,5.0,5.1,4.9,4.8,4.4,3.7,4.4,3.1,5.0,0.86,0.86,7.82,0.66,1.965212331,0.81,0.71,3.39,3.917,stable
Greece,2013,138th,3.9,3.0,4.8,6.4,4.3,4.4,5.4,3.9,3.0,4.3,2.0,5.1,0.919,0.919,8.06,0.58,2.902315984,0.33,0.905,6.955,3.864,stable
United Arab Emirates,2013,142nd,2.9,3.6,4.3,3.5,4.8,2.4,6.5,2.9,6.4,3.9,2.5,3.5,0.62,0.62,7.41,0.82,7.895242459,4.21,0.494,3.72,1.72,stable
Chile,2013,152nd,2.9,1.4,3.5,4.1,5.5,2.8,3.8,4.3,3.5,4.9,2.4,3.2,0.387,0.387,5.08,0.9,5.737545098,9.02,0.273,5.655,4.576,stable
Qatar,2013,143rd,2.5,5.0,4.9,2.9,4.8,3.1,5.9,2.0,5.6,4.3,2.1,4.0,0.506,0.506,7.72,1.36,4.467030649,1.94,0.417,10.06,0,stable
Montenegro,2013,134th,4.6,6.2,6.5,4.6,3.5,3.0,4.2,3.6,4.4,3.9,4.5,5.3,0.765,0.765,6.26,1.8,3.876585897,1.28,0.696,1.29,2.804,stable
Spain,2013,149th,4.1,6.0,5.8,5.5,4.1,3.0,3.3,3.3,2.2,2.8,2.3,2.0,0.413,0.413,7.29,2.58,4.752135168,4.41,0.364,9.035,0,stable
Oman,2013,136th,5.3,6.6,2.7,4.5,3.6,1.8,6.1,4.4,7.5,5.0,2.0,2.4,0.63,0.63,8.14,4.6,4.939654329,0.35,0.529,1.81,0,stable
Costa Rica,2013,139th,2.5,3.8,4.1,4.3,6.1,3.5,3.5,4.6,2.4,4.9,4.1,4.9,0.412,0.412,5.79,3.18,3.402897461,8.05,0.442,2.66,0,stable
Italy,2013,147th,5.0,4.8,4.7,4.8,3.6,2.6,4.7,2.4,2.9,3.8,3.3,2.0,0.659,0.659,6.9,2.74,3.796097438,0.34,0.505,4.26,7.068,stable
Panama,2013,131st,5.1,2.5,5.0,3.8,7.9,4.5,4.7,5.0,4.4,5.9,3.7,3.3,0.514,0.514,6,0.72,4.120635404,2.06,0.464,0.445,0.616,stable
Argentina,2013,144th,3.0,2.7,5.0,4.0,6.0,3.0,4.4,3.9,4.1,4.1,2.0,3.8,0.781,0.781,7.57,3.46,2.05120523,0.68,0.697,1.52,7.305,stable
Slovak Republic,2013,145th,2.3,3.7,5.0,5.2,4.6,4.5,4.3,3.5,3.0,3.2,2.0,3.9,0.717,0.717,7.48,2.8,5.827862276,0.93,0.653,2.865,2.68,stable
Estonia,2013,145th,2.9,5.5,5.9,3.5,4.3,3.9,3.8,3.0,2.4,3.5,3.3,3.3,0.586,0.586,5.68,1.16,3.163308883,7.43,0.439,3.75,0.346,stable
Malta,2013,151st,3.7,2.0,4.0,3.6,3.5,4.1,4.1,2.3,3.3,2.8,5.2,3.8,0.508,0.508,8.11,1.26,6.521794552,5.02,0.492,0.825,2.708,stable
Czech Republic,2013,154th,2.1,4.2,3.8,4.5,3.8,3.4,4.1,3.7,2.4,2.5,2.2,3.2,0.865,0.865,7.82,1.5,2.932325001,0.32,0.856,11.6,0,stable
Poland,2013,153rd,2.5,3.6,3.8,3.5,3.9,5.0,3.4,2.8,2.9,3.5,2.8,3.3,0.684,0.684,7.21,3.1,3.379114337,7.06,0.661,2.545,0,stable
Barbados,2013,137th,4.2,4.2,4.4,5.8,5.7,6.2,3.6,2.7,2.5,3.8,2.7,5.0,0.565,0.565,7.08,1.18,1.650822965,3.53,0.452,0,0,stable
Latvia,2013,140th,3.3,4.3,5.4,4.0,4.9,4.2,4.5,3.4,3.2,3.6,3.3,3.8,0.589,0.589,6.57,0.28,4.683895652,2.27,0.59,0.64,1.62,stable
South Korea,2013,157th,2.1,3.6,3.1,2.0,2.9,3.9,2.9,1.9,2.6,3.0,2.0,5.4,0.766,0.766,6.54,4.96,4.998471516,3.75,0.741,4.64,0,stable
Lithuania,2013,150th,2.5,3.0,3.7,4.5,5.2,4.1,3.8,3.4,2.9,3.8,2.9,3.2,0.814,0.814,6.53,4.12,3.890220077,0.76,0.815,1.695,0,stable
Mauritius,2013,148th,3.3,3.2,3.5,4.1,4.8,3.6,4.1,3.8,3.5,3.8,2.2,4.6,0.779,0.779,6.01,1.74,2.500266013,0.92,0.694,1.48,2.174,stable
Uruguay,2013,155th,3.7,2.7,2.8,3.6,4.4,4.7,1.7,3.4,2.3,3.8,1.9,3.5,0.773,0.773,5.86,1.3,8.090093922,0.65,0.714,3.885,0,Sustainable
Belgium,2013,164th,2.0,3.9,4.1,3.5,3.8,1.8,2.1,2.2,1.5,2.5,1.6,2.0,0.796,0.796,7.09,2.88,2.895077681,0.4,0.836,5.665,7.242,Sustainable
France,2013,161st,2.3,1.9,5.9,4.0,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4,0.719,0.719,6.96,4.08,3.417975047,2,0.753,7.39,0,Sustainable
Denmark,2013,174th,1.5,1.4,3.4,1.9,1.6,1.9,1.0,1.4,1.7,2.5,1.6,2.0,0.452,0.452,5.08,11.84,3.927116122,7.28,0.393,1.785,4.483,Sustainable
Singapore,2013,158th,1.5,4.0,2.7,3.0,3.7,3.3,3.2,1.9,4.9,2.5,1.1,2.2,0.734,0.734,7.33,0.56,7.569364609,3.71,0.677,1.565,0.079,Sustainable
United States,2013,159th,2.2,3.9,4.2,3.2,4.8,1.0,2.3,2.4,3.2,3.0,2.3,1.0,0.718,0.718,6.78,1.64,6.737061552,1.16,0.767,4.395,0,Sustainable
United Kingdom,2013,160th,2.7,3.5,5.0,4.1,3.6,2.1,1.6,2.3,1.8,2.5,2.7,1.3,0.47,0.47,7.51,1.58,6.676486869,3.88,0.48,0.69,1.456,Sustainable
Germany,2013,165th,2.2,2.0,4.3,2.6,3.9,2.2,1.4,1.8,1.9,2.4,3.6,1.4,0.445,0.445,5.98,0.82,3.652600913,5.01,0.348,7.855,1.235,Sustainable
Japan,2013,156th,1.7,2.6,3.8,3.7,1.8,2.0,2.2,2.5,3.0,5.4,3.7,3.7,0.891,0.891,8.19,2.44,3.207577862,0.32,0.86,2.59,0,Sustainable
Austria,2013,166th,1.1,2.7,4.3,1.9,4.0,1.6,1.5,1.5,2.0,2.3,2.4,1.6,0.933,0.933,8.21,1.04,4.046799358,0.36,0.936,6.795,4.844,Sustainable
New Zealand,2013,173rd,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,1.1,1.0,0.405,0.405,7.34,1.36,5.003617794,2.64,0.363,11.7,0,Sustainable
Slovenia,2013,163rd,2.5,1.6,3.3,3.6,4.5,3.2,2.8,2.1,2.5,2.5,1.4,2.3,0.7,0.7,7.27,1.76,3.435097776,1.36,0.699,1.705,1.475,Sustainable
Portugal,2013,161st,1.6,1.3,2.3,5.4,3.4,2.6,2.1,3.5,2.7,2.8,1.6,3.3,0.773,0.773,7.26,0.1,3.441176179,1.57,0.676,3.205,0,Sustainable
Finland,2013,178th,1.0,1.1,1.4,3.2,1.0,2.3,1.0,1.5,1.1,1.9,1.6,1.0,0.427,0.427,6.28,1.88,3.731754543,4.62,0.312,8.275,6.055,Sustainable
Iceland,2013,171st,1.0,1.8,1.0,3.7,1.7,2.8,1.4,1.6,1.3,1.6,1.6,5.2,0.614,0.614,7.28,0.72,3.86805003,1.92,0.504,3.425,5.831,Sustainable
Canada,2013,168th,1.8,2.5,3.1,1.8,3.5,2.1,1.5,2.0,2.0,2.6,2.1,1.0,0.546,0.546,6.75,1.46,2.933048357,3.07,0.451,0.72,5.017,Sustainable
Netherlands,2013,166th,1.8,2.6,4.1,3.5,2.3,2.2,1.0,1.5,1.0,3.0,2.4,1.5,0.634,0.634,7.58,1.38,5.728059896,0.53,0.488,3.415,0.049,Sustainable
Australia,2013,169th,1.7,1.6,3.6,2.1,3.3,1.1,1.0,1.8,2.2,3.3,2.7,1.0,0.736,0.736,7.44,0.98,0.997648363,1.46,0.73,7.535,0.074,Sustainable
Norway,2013,175th,2.7,1.1,3.6,1.9,1.5,1.6,0.5,1.4,1.9,2.0,1.9,1.3,0.908,0.908,8.12,1.14,3.516865606,3.31,0.91,0,0,Sustainable
Ireland,2013,170th,1.8,1.3,1.6,3.9,2.5,2.8,1.9,1.9,1.3,2.2,1.4,2.2,0.677,0.677,6.85,1.38,2.585198184,1.51,0.61,-0.09,0.03,Sustainable
Switzerland,2013,175th,1.4,1.0,3.5,2.3,2.3,2.1,0.8,1.4,1.7,2.1,1.5,1.4,0.417,0.417,5.47,2.2,6.670224057,0.24,0.297,0.8,0.059,Sustainable
Luxembourg,2013,172nd,2.3,3.4,2.8,1.5,1.5,2.1,1.9,1.3,1.0,1.7,1.8,2.0,0.766,0.766,7.36,2.68,4.086441977,0.79,0.656,-2.87,0,Sustainable
Sweden,2013,177th,2.2,1.8,1.0,1.7,1.7,1.7,0.5,1.9,1.3,2.5,2.4,1.0,0.652,0.652,6.75,2.94,4.194991351,0.65,0.686,1.28,0,Sustainable
